what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413398960908
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1413398960969
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413398965703
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413398966648
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1413398969529
opened,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.SourceView",1413398976417
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.SourceView",1413398976432
opened,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.JavadocView",1413398977429
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.JavadocView",1413398977444
activated,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProblemView",1413398978329
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413398983873
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399004267
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399004290
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399011439
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399013394
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399013425
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399016933
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1413399020929
